symbol,exchange,affidabilita
EVER.NAS,NAS,confermato
EVK.ETR,ETR,confermato
EVO.NAS,NAS,confermato
EVRG.NAS,NAS,confermato
EVT.ETR,ETR,confermato
EW.NYSE,NYSE,confermato
EXC.NAS,NAS,confermato
EXEL.NAS,NAS,confermato
EXFY.NAS,NAS,confermato
EXK.NYSE,NYSE,confermato
EXLS.NAS,NAS,confermato
EXPD.NYSE,NYSE,confermato
EXPE.NAS,NAS,confermato
EXPN.LSE,LSE,confermato
EXPO.NAS,NAS,confermato
EXR.NYSE,NYSE,confermato
EZJ.LSE,LSE,confermato
F.NYSE,NYSE,confermato
FAF.NYSE,NYSE,confermato
FANG.NAS,NAS,confermato
FAST.NAS,NAS,confermato
FATE.NAS,NAS,confermato
FBHS.NYSE,NYSE,confermato
FBP.NYSE,NYSE,confermato
FCEL.NAS,NAS,confermato
FCN.NYSE,NYSE,confermato
FCPT.NYSE,NYSE,confermato
FCX.NYSE,NYSE,confermato
FDS.NYSE,NYSE,confermato
FDX.NYSE,NYSE,confermato
FE.NYSE,NYSE,confermato
FER.MAD,MAD,confermato
FFIV.NAS,NAS,confermato
FGR.PAR,PAR,confermato
FHN.NYSE,NYSE,confermato
FICO.NYSE,NYSE,confermato
FIEG.ETR,ETR,confermato
FIS.NYSE,NYSE,confermato
FISV.NAS,NAS,confermato
FIVE.NAS,NAS,confermato
FIVN.NAS,NAS,confermato
FIZZ.NAS,NAS,confermato
FLEX.NAS,NAS,confermato
FLNA.NAS,NAS,confermato
FLO.NYSE,NYSE,confermato
FLR.NYSE,NYSE,confermato
FLS.NYSE,NYSE,confermato
FLTR.LSE,LSE,confermato
FLWS.NAS,NAS,confermato
FMC.NYSE,NYSE,confermato
FME.ETR,ETR,confermato
FNAC.PAR,PAR,confermato
FNF.NYSE,NYSE,confermato
FNTN.ETR,ETR,confermato
FOLD.NAS,NAS,confermato
FOSL.NAS,NAS,confermato
FOUR.NYSE,NYSE,confermato
FOX.NAS,NAS,confermato
FOXA.NAS,NAS,confermato
FP.PAR,PAR,confermato
FPE3.ETR,ETR,confermato
FPI.NYSE,NYSE,confermato
FR.NYSE,NYSE,confermato
FR.PAR,PAR,confermato
FRA.ETR,ETR,confermato
FRE.ETR,ETR,confermato
FRES.LSE,LSE,confermato
FROG.NAS,NAS,confermato
FRPT.NAS,NAS,confermato
FRSX.NAS,NAS,confermato
FRT.NYSE,NYSE,confermato
FSK.NYSE,NYSE,confermato
FSLR.NAS,NAS,confermato
FSM.NYSE,NYSE,confermato
FTNT.NAS,NAS,confermato
FTV.NYSE,NYSE,confermato
FUN.NYSE,NYSE,confermato
FUR.AMS,AMS,confermato
FVRR.NYSE,NYSE,confermato
FWONA.NAS,NAS,confermato
FWONK.NAS,NAS,confermato
G1A.ETR,ETR,confermato
GAME.NAS,NAS,confermato
GAP.NYSE,NYSE,confermato
GASS.NAS,NAS,confermato
GBF.ETR,ETR,confermato
GD.NYSE,NYSE,confermato
GDDY.NYSE,NYSE,confermato
GDOT.NYSE,NYSE,confermato
GDRX.NAS,NAS,confermato
GE.NYSE,NYSE,confermato
GEF.NYSE,NYSE,confermato
GEL.NYSE,NYSE,confermato
GEO.NYSE,NYSE,confermato
GERN.NAS,NAS,confermato
GES.NYSE,NYSE,confermato
GEVO.NAS,NAS,confermato
GFI.NYSE,NYSE,confermato
GFS.NAS,NAS,confermato
GFT.ETR,ETR,confermato
GGB.NYSE,NYSE,confermato
GHC.NYSE,NYSE,confermato
GIB.NYSE,NYSE,confermato
GILD.NAS,NAS,confermato
GIS.NYSE,NYSE,confermato
GKOS.NYSE,NYSE,confermato
GL.NYSE,NYSE,confermato
GLAD.NAS,NAS,confermato
GLE.PAR,PAR,confermato
GLEN.LSE,LSE,confermato
GLPG.AMS,AMS,confermato
GLPI.NAS,NAS,confermato
GLW.NYSE,NYSE,confermato
GM.NYSE,NYSE,confermato
GME.NYSE,NYSE,confermato
GMED.NYSE,NYSE,confermato
GNK.NYSE,NYSE,confermato
GNL.NYSE,NYSE,confermato
GNPX.NAS,NAS,confermato
GNRC.NYSE,NYSE,confermato
GNTX.NAS,NAS,confermato
GNW.NYSE,NYSE,confermato
GO.NAS,NAS,confermato
GOGO.NAS,NAS,confermato
GOOD.NAS,NAS,confermato
GOOG.NAS,NAS,confermato
GOSS.NAS,NAS,confermato
GPC.NAS,NAS,confermato
GPI.NYSE,NYSE,confermato
GPK.NYSE,NYSE,confermato
GPN.NYSE,NYSE,confermato
GPRE.NAS,NAS,confermato
GPRO.NAS,NAS,confermato
GRAB.NAS,NAS,confermato
GRF.MAD,MAD,confermato
GRMN.NYSE,NYSE,confermato
GRPN.NAS,NAS,confermato
GRWG.NAS,NAS,confermato
GRYP.NAS,NAS,confermato
GS.NYSE,NYSE,confermato
GSIT.NAS,NAS,confermato
GSK.LSE,LSE,confermato
GSK.NYSE,NYSE,confermato
GT.NAS,NAS,confermato
GTM.NAS,NAS,confermato
GTN.NYSE,NYSE,confermato
GTY.NYSE,NYSE,confermato
GVA.NYSE,NYSE,confermato
GWRE.NYSE,NYSE,confermato
GWW.NYSE,NYSE,confermato
H.NYSE,NYSE,confermato
HAE.NYSE,NYSE,confermato
HAIN.NAS,NAS,confermato
HAL.NYSE,NYSE,confermato
HALO.NAS,NAS,confermato
HAS.LSE,LSE,confermato
HAS.NAS,NAS,confermato
HASI.NYSE,NYSE,confermato
HBAN.NAS,NAS,confermato
HBI.NYSE,NYSE,confermato
HCA.NYSE,NYSE,confermato
HD.NYSE,NYSE,confermato
HEAR.NAS,NAS,confermato
HEI.ETR,ETR,confermato
HEI.NYSE,NYSE,confermato
HEIA.AMS,AMS,confermato
HEN3.ETR,ETR,confermato
HGV.NYSE,NYSE,confermato
HIG.NYSE,NYSE,confermato
HII.NYSE,NYSE,confermato
HIW.NYSE,NYSE,confermato
HLF.NYSE,NYSE,confermato
HLIT.NAS,NAS,confermato
HLMA.LSE,LSE,confermato
HLT.NYSE,NYSE,confermato
HLX.NYSE,NYSE,confermato
HMC.NYSE,NYSE,confermato
HMSO.LSE,LSE,confermato
HMY.NYSE,NYSE,confermato
HNR1.ETR,ETR,confermato
HO.PAR,PAR,confermato
HOG.NYSE,NYSE,confermato
HON.NYSE,NYSE,confermato
HOOD.NAS,NAS,confermato
HOT.ETR,ETR,confermato
HP.NYSE,NYSE,confermato
HPE.NYSE,NYSE,confermato
HPP.NYSE,NYSE,confermato
HPQ.NYSE,NYSE,confermato
HQY.NAS,NAS,confermato
HR.NYSE,NYSE,confermato
HRB.NYSE,NYSE,confermato
HRL.NYSE,NYSE,confermato
HSBA.LSE,LSE,confermato
HSBC.NYSE,NYSE,confermato
HSIC.NAS,NAS,confermato
HST.NAS,NAS,confermato
HSY.NYSE,NYSE,confermato
HTGC.NYSE,NYSE,confermato
HTHT.NAS,NAS,confermato
HTT.NYSE,NYSE,confermato
HUBB.NYSE,NYSE,confermato
HUBS.NYSE,NYSE,confermato
HUM.NYSE,NYSE,confermato
HUN.NYSE,NYSE,confermato
HWM.NYSE,NYSE,confermato
HXL.NYSE,NYSE,confermato
HYLN.NYSE,NYSE,confermato
HYT.NYSE,NYSE,confermato
IAG.LSE,LSE,confermato
IBB.NAS,NAS,confermato
IBE.MAD,MAD,confermato
IBKR.NAS,NAS,confermato
IBM.NYSE,NYSE,confermato
IBP.NYSE,NYSE,confermato
ICAD.PAR,PAR,confermato
ICE.NYSE,NYSE,confermato
ICGIN.LSE,LSE,confermato
